Waktu,Nilai
10:33:39,0
10:33:40,0
10:33:41,0
10:33:42,0
10:33:43,47
10:33:44,25
10:33:45,-137
10:33:46,-137
10:33:47,-137
10:33:48,0
10:33:49,0
10:33:50,47
10:33:51,100
10:33:52,92
10:33:53,88
10:33:54,85
10:33:55,90
10:33:56,89
10:33:57,101
10:33:58,117
10:33:59,116
10:34:00,114
10:34:01,118
10:34:02,128
10:34:03,125
10:34:04,112
10:34:05,111
10:34:06,118
10:34:07,124
10:34:08,120
10:34:09,118
10:34:10,122
10:34:11,148
10:34:12,151
10:34:13,156
10:34:14,161
10:34:15,151
10:34:16,146
10:34:17,155
10:34:18,168
10:34:19,168
10:34:20,188
10:34:21,191
10:34:22,165
10:34:23,145
10:34:24,135
10:34:25,116
10:34:26,107
10:34:27,118
10:34:28,119
10:34:29,109
10:34:30,96
10:34:31,110
10:34:32,119
10:34:33,99
10:34:34,89
10:34:35,84
10:34:36,80
10:34:37,65
